STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DASF,DASF_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,2014-01-21,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",117,",,W,2400",279.0,",,W,",0.0,",,W,",-5.0,",,W",-116.0,",,W",,,,,,,,,,,,,47.0,",,W",,,,,,,,,,,,,,,,,,,,,70.0,",,W",35.0,",,W",100.0,",,W",,,,,,,,,30.0,",,W",40.0,",,W",,,,,,,,,,,89.0,",,W",134.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-22,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",5,",,W,2400",13.0,",,W,",280.0,",,W,",-82.0,",,W",-149.0,",,W",,,,,,,,,,,,,39.0,",,W",,,,,,,,,,,,,,,,,,,,,52.0,",,W",41.0,",,W",67.0,",,W",,,,,,,,,360.0,",,W",350.0,",,W",,,,,,,,,,,98.0,",,W",134.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-23,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",180.0,",,W,",-66.0,",,W",-138.0,",,W",,,,,,,,,,,,,32.0,",,W",,,,,,,,,,,,,,,,,,,,,51.0,",,W",42.0,",,W",61.0,",,W",,,,,,,,,290.0,",,W",280.0,",,W",,,,,,,,,,,72.0,",,W",116.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-24,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",150.0,",,W,",-66.0,",,W",-121.0,",,W",,,,,,,,,,,,,36.0,",,W",,,,,,,,,,,,,,,,,,,,,43.0,",,W",27.0,",,W",52.0,",,W",,,,,,,,,250.0,",,W",240.0,",,W",,,,,,,,,,,76.0,",,W",134.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-25,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",10,",,W,2400",25.0,",,W,",100.0,",,W,",-21.0,",,W",-71.0,",,W",,,,,,,,,,,,,34.0,",,W",,,,,,,,,,,,,,,,,,,,,59.0,",,W",44.0,",,W",81.0,",,W",,,,,,,,,230.0,",,W",240.0,",,W",,,,,,,,,,,76.0,",,W",134.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-26,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,"T,,W,",100.0,",,W,",11.0,",,W",-82.0,",,W",,,,,-150.0,",,W",10088.0,",,W",10037.0,",,W",-78.0,",,W",,,,,,,,,,,,,,,,,,,,,,,46.0,",,W",36.0,",,W",68.0,",,W",,,,,,,,,280.0,",,W",280.0,",,W",,,,,,,,,,,72.0,",,W",116.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-27,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",80.0,",,W,",67.0,",,W",-60.0,",,W",,,,,-100.0,",,W",10085.0,",,W",10034.0,",,W",-28.0,",,W",35.0,",,W",,,,,,,,,,,,,,,,,,,,,45.0,",,W",24.0,",,W",61.0,",,W",,,,,,,,,300.0,",,W",300.0,",,W",,,,,,,,,,,76.0,",,W",134.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-28,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",30.0,",,W,",-60.0,",,W",-110.0,",,W",,,,,-217.0,",,W",10254.0,",,W",10203.0,",,W",-111.0,",,W",27.0,",,W",,,,,,,,,,,,,,,,,,,,,32.0,",,W",25.0,",,W",42.0,",,W",,,,,,,,,310.0,",,W",280.0,",,W",,,,,,,,,,,67.0,",,W",107.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-29,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",10,",,W,2400",20.0,",,W,",50.0,",,W,",-49.0,",,W",-99.0,",,W",,,,,-178.0,",,W",10220.0,",,W",10173.0,",,W",-100.0,",,W",29.0,",,W",,,,,,,,,,,,,,,,,,,,,45.0,",,W",27.0,",,W",77.0,",,W",,,,,,,,,260.0,",,W",250.0,",,W",,,,,,,,,,,67.0,",,W",103.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,2014-01-30,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,W,2400",0.0,",,W,",25.0,",,Z,",-10.0,",,W",-88.0,",,W",,,,,-167.0,",,W",10284.0,",,W",10230.0,",,W",-78.0,",,W",17.0,",,W",,,,,,,,,,,,,,,,,,,,,41.0,",,W",33.0,",,W",49.0,",,W",,,,,,,,,270.0,",,W",270.0,",,W",,,,,,,,,,,40.0,",,W",72.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
